"email";"bacSupYear";"bacSupDiploma";"bacSupDiplomaChannel";"bacSupDiplomaDetails";"bacSupEstablishment";"bacSupEstablishmentPostalCode";"bacSupEstablishmentCity";"bacSupEstablishmentCountry";"schoolReportType";"schoolReportAverage1";"schoolReportSavedAverage1";"schoolReportAverageNonStandard1";"schoolReportMedia1Status";"schoolReportAverage2";"schoolReportSavedAverage2";"schoolReportAverageNonStandard2";"schoolReportMedia2Status";"bacSupDual";"bacSupDualDiploma";"bacSupDualDiplomaChannel";"bacSupDualDiplomaDetails";"bacSupDualEstablishment";"bacSupDualEstablishmentPostalCode";"bacSupDualEstablishmentCity";"bacSupDualEstablishmentCountry";"bacSupDualSchoolReportType";"bacSupDualSchoolReportAverage1";"bacSupDualSchoolReportSavedAverage1";"bacSupDualSchoolReportAverageNonStandard1";"bacSupDualSchoolReportMedia1Status";"bacSupDualSchoolReportAverage2";"bacSupDualSchoolReportSavedAverage2";"bacSupDualSchoolReportAverageNonStandard2";"bacSupDualSchoolReportMedia2Status"
"monemail221262@test.test";"2018";"LICENCE 3";"GESTION";;"IAE LYON ";"69008";"LYON";"FRA";"Semestriel";"14.15";"14.15";"0";"approved";"12.30";"12.30";"0";"approved";"0";;;;;;;;;;;;;;;;
"monemail221263@test.test";"2021";"DUT";"GESTION DES ENTREPRISES ET DES ADMINISTRATIONS - GESTION COMPTABLE ET FINANCIERE";;"IUT DE RENNES ";"35704";"RENNES CEDEX 7";"FRA";"Semestriel";"14.62";"14.62";"0";"approved";"15.76";"15.76";"0";"approved";"0";;;;;;;;;;;;;;;;
"monemail221266@test.test";"2020";"DUETI";"Préciser l'intitulé";"BUSINESS ADMINISTRATION";"IUT DE PARIS";"75016";"PARIS";"FRA";"Semestriel";"12.02";"12.02";"0";"approved";"13.34";"13.34";"0";"approved";"0";;;;;;;;;;;;;;;;
"monemail221267@test.test";"2020";"DUT";"TECHNIQUES DE COMMERCIALISATION";;"UNIVERSITE DE LIMOGES";"87065";"LIMOGES";"FRA";"Semestriel";"16.10";"16.10";"0";"approved";"16.01";"16.01";"0";"approved";"0";;;;;;;;;;;;;;;;
"monemail221268@test.test";"2020";"LICENCE 3";"ÉCONOMIE ET GESTION";;"UNIVERSITÉ PARIS-SACLAY / LYCÉE PARC VILGÉNIS";"92331";"SCEAUX";"FRA";"Semestriel";"11.72";"11.72";"0";"approved";"13.89";"13.89";"0";"approved";"1";;;;;;;;;;;;;;;;
"monemail221269@test.test";"2020";"LICENCE 3";"ÉCONOMIE ET GESTION";;"SKEMA BUSINESS SCHOOL/UNIVERSITÉ CÔTE D'AZUR";"92150";"SURESNES";"FRA";"Semestriel";"10.67";"10.67";"0";"approved";"11.66";"11.66";"0";"approved";"0";;;;;;;;;;;;;;;;
"monemail221270@test.test";"2020";"DUT";"TECHNIQUES DE COMMERCIALISATION";;"UNIVERSITÉ DE BORDEAUX";"33000";"BORDEAUX";"FRA";"Semestriel";"10.19";"10.19";"0";"approved";"12.27";"12.27";"0";"approved";"0";;;;;;;;;;;;;;;;
"monemail221271 @test.test";"2020";"LICENCE 3";"MATHEMATIQUES ET INFORMATIQUE APPLIQUEES AUX SCIENCES HUMAINES ET SOCIALES";;"PARIS 1, UNIVERSITÉ PANTHÉON-SORBONNE";"75005";"PARIS";"FRA";"Annuel";"14.88";"14.88";"0";"approved";"14.88";"14.88";"0";"approved";"0";;;;;;;;;;;;;;;;
"monemail221272@test.test";"2020";"Bachelor obtenu en France et visé par le MESR";"Préciser l'intitulé";"COMMERCE GESTION MARKETING";"ECOLE DE GESTION ET DE COMMERCE D'OCCITANIE";"65000";"TARBES";"FRA";"Annuel";"17.55";"17.55";"0";"approved";"17.55";"17.55";"0";"approved";"0";;;;;;;;;;;;;;;;
"monemail221274@test.test";"2021";"LICENCE 2";"ÉCONOMIE ET GESTION";;"UNIVERSITÉ DE TOULON";"83130";"LA GARDE";"FRA";"Annuel";"15.69";"15.69";"0";"approved";"15.69";"15.69";"0";"approved";"0";;;;;;;;;;;;;;;;
"monemail221279@test.test";"2021";"DUT";"TECHNIQUES DE COMMERCIALISATION";;"IUT NICE";"06200";"NICE";"FRA";"Semestriel";"12.61";"12.61";"0";"approved";"12.90";"12.90";"0";"approved";"0";;;;;;;;;;;;;;;;
"monemail221280@test.test";"2021";"DUT";"TECHNIQUES DE COMMERCIALISATION";;"IUT PARIS RIVES DE SEINE";"75016";"PARIS";"FRA";"Semestriel";"13.13";"13.13";"0";"approved";"13.00";"13.00";"0";"approved";"0";;;;;;;;;;;;;;;;
"monemail221281@test.test";"2020";"Diplôme homologué niveau II RNCP";"Préciser l'intitulé";"RESPONSABLE DES ORGANISATIONS SPORTIVES";"AMOS BUSINESS SCHOOL";"44300";"NANTES";"FRA";"Semestriel";"14.27";"14.27";"0";"approved";"15.79";"15.79";"0";"approved";"0";;;;;;;;;;;;;;;;
"monemail221283@test.test";"2020";"LICENCE 3";"ÉCONOMIE ET GESTION";;"UNIVERSITÉ DE RENNES 1";"35000";"RENNES";"FRA";"Annuel";"6.80";"6.80";"0";"approved";"6.80";"6.80";"0";"approved";"0";;;;;;;;;;;;;;;;
"monemail221284@test.test";"14";"LICENCE 3";"PHYSIQUE";;"UNIVERSITÉ DE PARIS";"75";"PARIS";"FRA";"Semestriel";"9.71";"9.71";"0";"approved";"10.28";"10.28";"0";"approved";"0";;;;;;;;;;;;;;;;
"monemail221285@test.test";"2020";"Bachelor obtenu en France et visé par le MESR";"Préciser l'intitulé";"MARKETING, BUSINESS, MANAGEMENT ";"BURGUNDY SCHOOL OF BUSINESS";"21000";"DIJON";"FRA";"Annuel";"17.38";"17.38";"0";"approved";"17.38";"17.38";"0";"approved";"0";;;;;;;;;;;;;;;;
"monemail221286@test.test";"2021";"DUT";"GESTION ADMINISTRATIVE ET COMMERCIALE DES ORGANISATIONS";;"IUT DE DIJON-AUXERRE";"21000";"DIJON";"FRA";"Semestriel";"14.17";"14.17";"0";"approved";"14.20";"14.20";"0";"approved";"0";;;;;;;;;;;;;;;;
"monemail221288@test.test";"2021";"CPGE ENS CACHAN D2 (2ème année)";"ÉCONOMIE GESTION";;"LYCEE RENE CASSIN";"67000";"STRASBOURG ";"FRA";"Semestriel";"10.79";"10.79";"0";"approved";"10.62";"10.62";"0";"approved";"0";;;;;;;;;;;;;;;;
"monemail221289@test.test";"2020";"DUETI";"Préciser l'intitulé";"GESTION DES ENTREPRISES ET DES ADMINISTRATIONS";"IUT ANGERS ";"49106";"ANGERS";"FRA";"Semestriel";"13.02";"13.02";"0";"approved";"13.05";"13.05";"0";"approved";"0";;;;;;;;;;;;;;;;
"monemail221290@test.test";"2021";"BTS";"COMMERCE INTERNATIONAL";;"JEANNE PERRIMOND";"13007";"MARSEILLE";"FRA";"Semestriel";"12.30";"12.30";"0";"approved";"13.00";"13.00";"0";"approved";"0";;;;;;;;;;;;;;;;
"monemail221293@test.test";"2021";"CPGE ENS CACHAN D1 (2ème année)";"DROIT ÉCONOMIE";;"LYCEE MERMOZ";"34000";"MONTPELLIER";"FRA";"Semestriel";"11.60";"11.60";"0";"approved";"11.70";"11.70";"0";"approved";"1";;;;;;;;;;;;;;;;
"monemail221295@test.test";"2019";"LICENCE 3";"GESTION";;"IAE LILLE";"59024";"LILLE CEDEX";"FRA";"Semestriel";"14.86";"14.86";"0";"approved";"13.69";"13.69";"0";"approved";"0";;;;;;;;;;;;;;;;
"monemail221296@test.test";"2020";"LICENCE 3";" Autre - Préciser";" BANQUE FINANCE OPTION PRÉPA ATS";"UNIVERSITÉ DE LILLE";"59000";"LILLE";"FRA";"Semestriel";"13.91";"13.91";"0";"approved";"14.12";"14.12";"0";"approved";"0";;;;;;;;;;;;;;;;
"monemail221297@test.test";"2021";"DUT";"TECHNIQUES DE COMMERCIALISATION";;"UNIVERSITÉ DE TOURS";"37100";"TOURS";"FRA";"Semestriel";"13.91";"13.91";"0";"approved";"14.32";"14.32";"0";"approved";"0";;;;;;;;;;;;;;;;
"monemail221299@test.test";"2020";"LICENCE 2";"ÉCONOMIE ET GESTION";;"UNIVERSITE TOULOUSE CAPITOLE 1";"31000";"TOULOUSE";"FRA";"Semestriel";"12.98";"12.98";"0";"approved";"12.72";"12.72";"0";"approved";"0";;;;;;;;;;;;;;;;
"monemail221302@test.test";"2020";"DUETI";"Préciser l'intitulé";"DIPLOME UNIVERSITAIRE ET TECHNOLOGIQUE INTERNATIONALES";"IUT D'ANGERS";"49000";"ANGERS";"FRA";"Semestriel";"13.09";"13.09";"0";"approved";"12.72";"12.72";"0";"approved";"0";;;;;;;;;;;;;;;;
"monemail221304@test.test";"2020";"LICENCE 3";"GESTION";;"FACULTE DE GESTION, ECONOMIE & SCIENCES";"59000";"LILLE";"FRA";"Annuel";"10.64";"10.64";"0";"approved";"10.64";"10.64";"0";"approved";"0";;;;;;;;;;;;;;;;
"monemail221305@test.test";"2020";"LICENCE 3";"GESTION";;"IAE-LILLE";"59043";"LILLE";"FRA";"Semestriel";"13.16";"13.16";"0";"approved";"14.72";"14.72";"0";"approved";"0";;;;;;;;;;;;;;;;
"monemail221306@test.test";"2020";"LICENCE 3";"ÉCONOMIE ET GESTION";;"IAE LILLE";"59000 ";"LILLE";"FRA";"Annuel";"14.01";"14.01";"0";"approved";"14.01";"14.01";"0";"approved";"0";;;;;;;;;;;;;;;;
"monemail221307@test.test";"2019";"LICENCE 3";"ÉCONOMIE";;"PARIS 1 PANTHEON SORBONNE";"75013";"PARIS";"FRA";"Annuel";"12.69";"12.69";"0";"approved";"12.69";"12.69";"0";"approved";"0";;;;;;;;;;;;;;;;
"monemail221308@test.test";"2019";"LICENCE 3";"ÉCONOMIE ET GESTION";;"UPPA DE BAYONNE";"64100";"BAYONNE";"FRA";"Annuel";"12.69";"12.69";"0";"approved";"12.69";"12.69";"0";"approved";"0";;;;;;;;;;;;;;;;
"monemail221311@test.test";"2019";"MASTER 1";"COMMERCE/MARKETING";;"MONTPELLIER MANAGEMENT";"34000";"MONTPELLIER";"FRA";"Semestriel";"11.11";"11.11";"0";"approved";"11.28";"11.28";"0";"approved";"0";;;;;;;;;;;;;;;;
"monemail221312@test.test";"2021";"DUT";"GESTION DES ENTREPRISES ET DES ADMINISTRATIONS - GESTION ET MANAGEMENT DES ORGANISATIONS";;"IUT DU MANS";"72000";"LE MANS";"FRA";"Semestriel";"13.39";"13.39";"0";"approved";"11.85";"11.85";"0";"approved";"0";;;;;;;;;;;;;;;;
"monemail221313@test.test";"2019";"LICENCE 3";"ÉCONOMIE ET GESTION";;"UNIVERSITÉ JEAN MOULIN LYON 3";"69008";"LYON";"FRA";"Semestriel";"14.09";"14.09";"0";"approved";"15.02";"15.02";"0";"approved";"1";;;;;;;;;;;;;;;;
"monemail221314@test.test";"2020";"LICENCE 3";"ADMINISTRATION ECONOMIQUE ET SOCIALE";;"ECONOMIE ET GESTION SITE FERRY";"13100";"AIX-EN-PROVENCE";"FRA";"Annuel";"13.98";"13.98";"0";"approved";"13.98";"13.98";"0";"approved";"0";;;;;;;;;;;;;;;;
"monemail221315@test.test";"2021";"LICENCE 2";" Autre - Préciser";"ECONOMIE-FINANCE";"INSTITUT CATHOLIQUE DE LILLE - FGES";"59016";"LILLE";"FRA";"Annuel";"13.51";"13.51";"0";"approved";"13.51";"13.51";"0";"approved";"1";;;;;;;;;;;;;;;;
"monemail221316@test.test";"2020";"LICENCE 3";"ÉCONOMIE ET GESTION";;"PANTHÉON ASSAS";"75006";"PARIS";"FRA";"Annuel";"14.44";"14.44";"0";"approved";"14.44";"14.44";"0";"approved";"0";;;;;;;;;;;;;;;;
"monemail221317@test.test";"2019";"LICENCE 3";"SCIENCES SOCIALES";;"INSTITUT CATHOLIQUE DE PARIS";"75006";"PARIS";"FRA";"Semestriel";"13.41";"13.41";"0";"approved";"12.71";"12.71";"0";"approved";"0";;;;;;;;;;;;;;;;
"monemail221318@test.test";"2020";"DUETI";"Préciser l'intitulé";"TECHNIQUES DE COMMERCIALISATION";"IUT NICE SOPHIA ANTIPOLIS";"06200";"NICE";"FRA";"Semestriel";"13.09";"13.09";"0";"approved";"14.45";"14.45";"0";"approved";"1";;;;;;;;;;;;;;;;
"monemail221320@test.test";"2020";"LICENCE 3";" Autre - Préciser";"ESDHEM - ÉCONOMIE GESTION";"SKEMA - CAMPUS GRAND PARIS";"92150";"SURESNES";"FRA";"Annuel";"15.51";"15.51";"0";"approved";"15.51";"15.51";"0";"approved";"1";;;;;;;;;;;;;;;;
"monemail221321@test.test";"2020";"DUT";"TECHNIQUES DE COMMERCIALISATION";;"IUT TROYES";"10430";"ROSIÈRES-PRÈS-TROYES";"FRA";"Semestriel";"14.69";"14.69";"0";"approved";"16.44";"16.44";"0";"approved";"0";;;;;;;;;;;;;;;;
"monemail221322@test.test";"2021";"BTS";"COMMERCE INTERNATIONAL";;"LYCÉE NOTRE-DAME-DE-BOULOGNE";"92100";"BOULOGNE-BILLANCOURT ";"FRA";"Semestriel";"12.60";"12.60";"0";"approved";"12.90";"12.90";"0";"approved";"0";;;;;;;;;;;;;;;;
"monemail221323@test.test";"2020";"LICENCE 3";"ÉCONOMIE ET GESTION";;"UNIVERSITÉ PARIS SUD - FACULTÉ JEAN MONNET";"92330";"SCEAUX";"FRA";"Semestriel";"13.97";"13.97";"0";"approved";"16.01";"16.01";"0";"approved";"1";;;;;;;;;;;;;;;;
"monemail221324@test.test";"2020";"LICENCE 3";"ADMINISTRATION ECONOMIQUE ET SOCIALE";;"PARIS-SACLAY UVSQ";"78000 ";"VERSAILLES";"FRA";"Semestriel";"11.60";"11.60";"0";"approved";"12.80";"12.80";"0";"approved";"0";;;;;;;;;;;;;;;;
"monemail221325@test.test";"2020";"LICENCE 3";"SCIENCE POLITIQUE ";;"ESPOL UNIVERSITÉ CATHOLIQUE DE LILLE";"59016 ";"LILLE ";"FRA";"Annuel";"12.38";"12.38";"0";"approved";"12.38";"12.38";"0";"approved";"0";;;;;;;;;;;;;;;;
"monemail221326@test.test";"2020";"LICENCE 2";"ÉCONOMIE ET GESTION";;"UNIVERSITÉ ARTOIS SITE ARRAS ";"62000";"ARRAS";"FRA";"Annuel";"10.32";"10.32";"0";"approved";"10.32";"10.32";"0";"approved";"0";;;;;;;;;;;;;;;;
"monemail221327@test.test";"2019";"LICENCE 3";"ÉCONOMIE";;"UNIVERSITE PARIS SACLAY";"91400";"ORSAY";"FRA";"Annuel";"10.92";"10.92";"0";"approved";"10.92";"10.92";"0";"approved";"0";;;;;;;;;;;;;;;;
"monemail221328@test.test";"2021";"DUT";"TECHNIQUES DE COMMERCIALISATION";;"IUT DE METZ";"57000";"METZ";"FRA";"Semestriel";"15.44";"15.44";"0";"approved";"15.95";"15.95";"0";"approved";"0";;;;;;;;;;;;;;;;
"monemail221329@test.test";"2019";"LICENCE 3";"ÉCONOMIE ET GESTION";;"UNIVERSITE PARIS-SACLAY";"92330";"SCEAUX";"FRA";"Annuel";"12.15";"12.15";"0";"approved";"12.15";"12.15";"0";"approved";"0";;;;;;;;;;;;;;;;
"monemail221330@test.test";"2019";"LICENCE 3";"ÉCONOMIE ET GESTION";;"UNIVERSITÉ NICE COTE D'AZUR";"06000";"NICE";"FRA";"Semestriel";"13.92";"13.92";"0";"approved";"13.17";"13.17";"0";"approved";"1";;;;;;;;;;;;;;;;
"monemail221331@test.test";"2019";"Bachelor obtenu en France et visé par le MESR";"Préciser l'intitulé";"BACHELOR MANAGEMENT INTERNATIONAL";"EM NORMANDIE";"75016";"PARIS";"FRA";"Semestriel";"9.50";"9.50";"0";"approved";"14.22";"14.22";"0";"approved";"0";;;;;;;;;;;;;;;;
"monemail221332@test.test";"2019";"MASTER 1";"COMMERCE/MARKETING";;"EM LYON BUSINESS SCHOOL";"69134";"ECULLY";"FRA";"Annuel";"11.47";"11.47";"0";"approved";"11.47";"11.47";"0";"approved";"0";;;;;;;;;;;;;;;;
"monemail221333@test.test";"2020";"CPGE ENS CACHAN D2 (2ème année)";"ÉCONOMIE GESTION";;"LYCÉE JEAN MERMOZ";"34000";"MONTPELLIER";"FRA";"Semestriel";"11.08";"11.08";"0";"approved";"12.46";"12.46";"0";"approved";"1";;;;;;;;;;;;;;;;
"monemail221334@test.test";"2020";"LICENCE 3";"ÉCONOMIE ET GESTION";;"UNIVERSITÉ GRENOBLE ALPES";"38400";"GRENOBLE";"FRA";"Semestriel";"13.99";"13.99";"0";"approved";"16.10";"16.10";"0";"approved";"0";;;;;;;;;;;;;;;;
"monemail221335@test.test";"2020";"Bachelor obtenu en France et visé par le MESR";"Préciser l'intitulé";"MANAGEMENT";"KEDGE BUSINESS SCHOOL";"33400";"TALENCE";"FRA";"Annuel";"14.09";"14.09";"0";"approved";"14.09";"14.09";"0";"approved";"0";;;;;;;;;;;;;;;;
"monemail221336@test.test";"2020";"LICENCE 3";"ÉCONOMIE ET GESTION";;"UNIVERSITÉ PARIS NANTERRE ";"92000";"NATERRE ";"FRA";"Annuel";"11.21";"11.21";"0";"approved";"11.21";"11.21";"0";"approved";"0";;;;;;;;;;;;;;;;
"monemail221337@test.test";"2019";"LICENCE 3";"ÉCONOMIE ET GESTION";;"UNIVERSITÉ BORDEAUX";"33600";"PESSAC";"FRA";"Annuel";"10.23";"10.23";"0";"approved";"10.23";"10.23";"0";"approved";"0";;;;;;;;;;;;;;;;
"monemail221338@test.test";"2021";"CPGE ENS CACHAN D2 (2ème année)";"ÉCONOMIE GESTION";;"ENC BESSIÈRES";"75017";"PARIS";"FRA";"Annuel";"14.06";"14.06";"0";"approved";"14.06";"14.06";"0";"approved";"1";;;;;;;;;;;;;;;;
"monemail221340@test.test";"2019";"LICENCE 3";" Autre - Préciser";"SCIENCES SOCIALES, SCIENCES ECONOMIQUES ET SCIENCES POLITIQUES";"INSTITUT CATHOLIQUE DE PARIS";"75006";"PARIS";"FRA";"Semestriel";"11.77";"11.77";"0";"approved";"11.94";"11.94";"0";"approved";"0";;;;;;;;;;;;;;;;
"monemail221341@test.test";"2020";"LICENCE 3";"ÉCONOMIE";;"UNIVERSITÉ PARIS 1 PANTHÉON SORBONNE";"93250";"VILLEMOMBLE";"FRA";"Semestriel";"11.85";"11.85";"0";"approved";"11.49";"11.49";"0";"approved";"0";;;;;;;;;;;;;;;;
"monemail221342@test.test";"2020";"LICENCE 3";"ÉCONOMIE";;"SORBONNE";"75005";"PARIS";"FRA";"Annuel";"14.08";"14.08";"0";"approved";"14.08";"14.08";"0";"approved";"0";;;;;;;;;;;;;;;;
"monemail221343@test.test";"2019";"LICENCE 3";"DROIT";;"UNIVERSITÉ JEAN MONNET";"42100";"SAINT-ETIENNE";"FRA";"Annuel";"10.44";"10.44";"0";"approved";"10.44";"10.44";"0";"approved";"0";;;;;;;;;;;;;;;;
"monemail221344@test.test";"2020";"DUETI";"Préciser l'intitulé";"BACHELOR OF BUSINESS";"DUBLIN BUSINESS SHOOL ";"63170";"AUBIÈRE";"FRA";"Semestriel";"10.16";"10.16";"0";"approved";"11.94";"11.94";"0";"approved";"0";;;;;;;;;;;;;;;;
"monemail221346@test.test";"2019";"DUETI";"Préciser l'intitulé";;"IUT DE SAINT-ÉTIENNE";"42100 ";"SAINT-ÉTIENNE";"FRA";"Semestriel";"10.29";"10.29";"0";"approved";"10.60";"10.60";"0";"approved";"0";;;;;;;;;;;;;;;;
"monemail221347@test.test";"2021";"DUT";"GESTION DES ENTREPRISES ET DES ADMINISTRATIONS - GESTION COMPTABLE ET FINANCIERE";;"IUT PARIS RIVES DE SEINE";"75016";"PARIS";"FRA";"Semestriel";"11.08";"11.08";"0";"approved";"10.68";"10.68";"0";"approved";"0";;;;;;;;;;;;;;;;
"monemail221348@test.test";"2019";"DCG 3ème année (Bac+3 homologué)";"Préciser l'intitulé";"COMPTABILITE GESTION";"INSTITUT CADENELLE MARSEILLE PROVENCE";"13012";"MARSEILLE";"FRA";"Annuel";"13.77";"13.77";"0";"approved";"13.77";"13.77";"0";"approved";"0";;;;;;;;;;;;;;;;
"monemail221349@test.test";"2019";"LICENCE 3";"ÉCONOMIE ET GESTION";;"UNIVERSITÉ DE LILLE";"59650";"VILLENEUVE D'ASCQ";"FRA";"Semestriel";"16.90";"16.90";"0";"approved";"16.95";"16.95";"0";"approved";"0";;;;;;;;;;;;;;;;
"monemail221350@test.test";"2019";"MASTER 1";" Autre - Préciser";"MANAGEMENT DU SPORT INTERNATIONAL";"UNIVERSITÉ DE LILLE 2";"59790";"RONCHIN";"FRA";"Semestriel";"13.43";"13.43";"0";"approved";"11.75";"11.75";"0";"approved";"0";;;;;;;;;;;;;;;;
"monemail221351@test.test";"2021";"DUT";"TECHNIQUES DE COMMERCIALISATION";;"IUT ROBERT SCHUMAN";"67411";"ILLKIRCH-GRAFFENSTADEN";"FRA";"Semestriel";"13.12";"13.12";"0";"approved";"12.53";"12.53";"0";"approved";"0";;;;;;;;;;;;;;;;
"monemail221352@test.test";"2020";"LICENCE 3";"ADMINISTRATION ECONOMIQUE ET SOCIALE";;"UNIVERSITE RENNES 2";"35000";"RENNES";"FRA";"Semestriel";"11.56";"11.56";"0";"approved";"12.45";"12.45";"0";"approved";"1";;;;;;;;;;;;;;;;
"monemail221355@test.test";"2020";"LICENCE 2";"ÉCONOMIE";;"UNIVERSITE CATHOLIQUE DE LILLE";"59016";"LILLE";"FRA";"Semestriel";"14.43";"14.43";"0";"approved";"15.24";"15.24";"0";"approved";"1";;;;;;;;;;;;;;;;
"monemail221356@test.test";"2020";"LICENCE 2";"ÉCONOMIE ET GESTION";;"ESDHEM (SKEMA)";"59777";"LILLE";"FRA";"Semestriel";"10.88";"10.88";"0";"approved";"14.18";"14.18";"0";"approved";"0";;;;;;;;;;;;;;;;
"monemail221358@test.test";"2020";"LICENCE 3";"ADMINISTRATION ECONOMIQUE ET SOCIALE";;"UNIVERSITÉ JEAN MOULIN  LYON 3";"69008";"LYON";"FRA";"Semestriel";"11.65";"11.65";"0";"approved";"11.38";"11.38";"0";"approved";"0";;;;;;;;;;;;;;;;
"monemail221359@test.test";"2019";"LICENCE 3";"ÉCONOMIE ET GESTION";;"ESDHEM";"59000";"LILLE";"FRA";"Annuel";"11.86";"11.86";"0";"approved";"11.86";"11.86";"0";"approved";"0";;;;;;;;;;;;;;;;
"monemail221360@test.test";"2019";"LICENCE 3";"ÉCONOMIE";;"UNIVERSITÉ PARIS 1 PANTHÉON-SORBONNE";"75231";"PARIS";"FRA";"Annuel";"13.19";"13.19";"0";"approved";"13.19";"13.19";"0";"approved";"0";;;;;;;;;;;;;;;;
"monemail221361@test.test";"2021";"LICENCE 2";"ÉCONOMIE ET GESTION";;"SKEMA BUSINESS SCHOOL";"92156 ";"SURESNES";"FRA";"Semestriel";"14.27";"14.27";"0";"approved";"16.41";"16.41";"0";"approved";"1";;;;;;;;;;;;;;;;
"monemail221362@test.test";"2020";"LICENCE 3";"GESTION";;"INSTITUT MONTPELLIER MANAGEMENT";"34000";"MONTPELLIER";"FRA";"Semestriel";"13.36";"13.36";"0";"approved";"14.44";"14.44";"0";"approved";"0";;;;;;;;;;;;;;;;
"monemail221363@test.test";"2020";"LICENCE 3";"ÉCONOMIE ET GESTION";;"UNIVERSITÉ LUMIÈRE LYON 2";"69265";"LYON CEDEX";"FRA";"Annuel";"13.12";"13.12";"0";"approved";"13.12";"13.12";"0";"approved";"1";;;;;;;;;;;;;;;;
"monemail221364@test.test";"2020";"LICENCE 3";"GESTION";;"IAE GRENOBLE";"38400";"SAINT-MARTIN-D'HÈRES";"FRA";"Semestriel";"13.89";"13.89";"0";"approved";"15.75";"15.75";"0";"approved";"0";;;;;;;;;;;;;;;;
"monemail221366@test.test";"2018";"LICENCE 3";"ÉCONOMIE ET GESTION";;"UNIVERSITÉ D'ANGERS";"49100";"ANGERS";"FRA";"Semestriel";"11.10";"11.10";"0";"approved";"11.90";"11.90";"0";"approved";"0";;;;;;;;;;;;;;;;
"monemail221367@test.test";"2020";"LICENCE 3";"ÉCONOMIE ET GESTION";;"UNIVERSITÉ CLAUDE BERNARD LYON 1";"69622";"VILLEURBANNE";"FRA";"Semestriel";"14.40";"14.40";"0";"approved";"13.51";"13.51";"0";"approved";"0";;;;;;;;;;;;;;;;
"monemail221368@test.test";"2020";"LICENCE 3";"ÉCONOMIE ET GESTION";;"SKEMA BUSINESS SCHOOL";"92150";"SURESNES";"FRA";"Semestriel";"11.83";"11.83";"0";"approved";"11.65";"11.65";"0";"approved";"1";;;;;;;;;;;;;;;;
"monemail221374@test.test";"2021";"CPGE ENS CACHAN D2 (2ème année)";"ÉCONOMIE GESTION";;"LYCEE MARIE CURIE";"78000";"VERSAILLES";"FRA";"Annuel";"13.27";"13.27";"0";"approved";"13.27";"13.27";"0";"approved";"1";;;;;;;;;;;;;;;;
"monemail221376@test.test";"2020";"LICENCE 3";"ÉCONOMIE ET GESTION";;"ESDHEM  SKEMA BS";"59777";"LILLE";"FRA";"Annuel";"11.40";"11.40";"0";"approved";"11.40";"11.40";"0";"approved";"1";;;;;;;;;;;;;;;;
"monemail221377@test.test";"2020";"LICENCE 3";" Autre - Préciser";"HUMANITÉS ET SCIENCES POLITIQUES ";"INSTITUT ALBERT LE GRAND - ANGERS ";"49130";"LES PONTS-DE-CÉ";"FRA";"Annuel";"12.27";"12.27";"0";"approved";"12.27";"12.27";"0";"approved";"1";;;;;;;;;;;;;;;;
"monemail221378@test.test";"2020";"LICENCE 3";" Autre - Préciser";"ART";"ESAA DUPERRÉ";"75003";"PARIS";"FRA";"Annuel";"17.20";"17.20";"0";"approved";"17.20";"17.20";"0";"approved";"0";;;;;;;;;;;;;;;;
"monemail221379@test.test";"2021";"CPGE ENS CACHAN D1 (2ème année)";"DROIT ÉCONOMIE";;"LYCÉE JEAN MERMOZ";"34";" MONTPELLIER";"FRA";"Semestriel";"12.20";"12.20";"0";"approved";"11.95";"11.95";"0";"approved";"1";;;;;;;;;;;;;;;;
"monemail221380@test.test";"2021";"LICENCE 2";"GESTION";;"INSTITUT CATHOLIQUE DE LILLE";"59016";"LILLE CEDEX";"FRA";"Semestriel";"15.41";"15.41";"0";"approved";"14.46";"14.46";"0";"approved";"0";;;;;;;;;;;;;;;;
"monemail221381@test.test";"2021";"CPGE ENS CACHAN D2 (2ème année)";"ÉCONOMIE GESTION";;"LYCEE LOUIS PERGAUD";"25000";"BESANCON";"FRA";"Semestriel";"12.58";"12.58";"0";"approved";"13.82";"13.82";"0";"approved";"0";;;;;;;;;;;;;;;;
"monemail221382@test.test";"2020";"DUT";" Autre - Préciser";"GENIE BIOLOGIQUE";"IUT DE BREST";"29200";"BREST";"FRA";"Semestriel";"10.39";"10.39";"0";"approved";"13.98";"13.98";"0";"approved";"0";;;;;;;;;;;;;;;;
"monemail221383@test.test";"2020";"DUETI";"Préciser l'intitulé";"GESTION DES ENTREPRISES ET DES ADMINISTRATION";"IUT DE SAINT-ETIENNE";"42100";"SAINT-ETIENNE";"FRA";"Semestriel";"12.15";"12.15";"0";"approved";"11.75";"11.75";"0";"approved";"1";;;;;;;;;;;;;;;;
"monemail221384@test.test";"2020";"DUT";"TECHNIQUES DE COMMERCIALISATION";;"IUT DE SCEAUX";"92330";"SCEAUX";"FRA";"Semestriel";"8.67";"8.67";"0";"approved";"12.79";"12.79";"0";"approved";"0";;;;;;;;;;;;;;;;
"monemail221385@test.test";"2020";"LICENCE 3";"ÉCONOMIE ET GESTION";;"IAE UNIVERSITÉ JEAN MONNET";"42400";"SAINT CHAMOND";"FRA";"Annuel";"14.41";"14.41";"0";"approved";"14.41";"14.41";"0";"approved";"0";;;;;;;;;;;;;;;;
