"email";"bacYear";"bacINE";"bacChannel";"bacSerie";"bacDistinction"
"monemail220818@test.test";"2019";"110961057FG";"Général";"Économique et social";"1"
"monemail220819@test.test";"2019";"07130950EF";"Général";"Économique et social";"3"
"monemail220820@test.test";"2018";"173041482BK";"Général";"Scientifique";"4"
"monemail220821@test.test";"2020";"081721566GB";"Général";"Scientifique";"2"
"monemail220822@test.test";"2019";"071103606BD";"Général";"Économique et social";"3"
"monemail220823@test.test";"2018";"070705670FF";"Général";"Économique et social";"3"
"monemail220824@test.test";"2019";"110455973GB";"Général";"Scientifique";"3"
"monemail220825@test.test";"2018";"4011607300T";"Général";"Scientifique";"2"
"monemail220827@test.test";"2017";"2410007652K";"Général";"Économique et social";"2"
"monemail220828@test.test";"2018";"061014680GG";"Général";"Économique et social";"4"
"monemail220829@test.test";"2019";"081746358AE";"Général";"Économique et social";"3"
"monemail220830@test.test";"2020";"060239004DD";"Général";"Scientifique";"2"
"monemail220831@test.test";"2018";"100826618DC";"Général";"Scientifique";"4"
"monemail220832@test.test";"2019";"21907312";"Général";"Scientifique";"3"
"monemail220833@test.test";"2017";"0915300486H";"Général";"Scientifique";"4"
"monemail220834@test.test";"2016";"2509028696E";"Général";"Scientifique";"4"
"monemail220835@test.test";"2019";"061012111BG";"Général";"Scientifique";"3"
"monemail220836@test.test";"2020";"101124104EF";"Général";"Économique et social";"3"
"monemail220837@test.test";"2019";"060878446BF";"Général";"Scientifique";"4"
"monemail220838@test.test";"2015";"2408058821R";"Professionnel";"Hotel";"4"
"monemail220839@test.test";"2020";"060161871FB6";"Général";"Économique et social";"3"
"monemail220840@test.test";"2020";"081646110FB";"Général";"Scientifique";"1"
"monemail220843@test.test";"2020";"71667566BB";"Général";"Scientifique";"2"
"monemail220844@test.test";"2018";"060384883EC";"Général";"Économique et social";"4"
"monemail220845@test.test";"2019";"123071168AH";"Général";"Scientifique";"2"
"monemail220847@test.test";"2015";"1508015328W";"Général";"Scientifique";"3"
"monemail220849@test.test";"2018";"071021503FE";"Général";"Scientifique";"3"
"monemail220850@test.test";"2020";"110709655DE";"Général";"Scientifique";"3"
"monemail220851@test.test";"2019";"110827144BC";"Général";"Économique et social";"2"
"monemail220852@test.test";"2017";"0910022477S";"Général";"Économique et social";"4"
"monemail220855@test.test";"2017";"2115901768B";"Général";"Économique et social";"4"
"monemail220856@test.test";"2019";"072004672HH";"Général";"Scientifique";"2"
"monemail220857@test.test";"2019";"070375567GH";"Général";"Économique et social";"2"
"monemail220858@test.test";"2019";"080960241DD";"Général";"Scientifique";"3"
"monemail220860@test.test";"2019";"060346491CC";"Général";"Scientifique";"3"
"monemail220861@test.test";"2019";"081942867BH";"Général";"Scientifique";"2"
"monemail220863@test.test";"2019";"081013420BA";"Général";"Scientifique";"1"
"monemail220865@test.test";"2018";"153126779EA";"Général";"Scientifique";"4"
"monemail220867@test.test";"2017";"1114008953X";"Général";"Scientifique";"3"
"monemail220868@test.test";"2019";"K131259334";"Général";"Économique et social";"3"
"monemail220869@test.test";"2019";"071865403FE";"Général";"Scientifique";"3"
"monemail220870@test.test";"2020";"050158998KA";"Général";"Scientifique";"1"
"monemail220873@test.test";"2019";"081716444EC";"Général";"Scientifique";"4"
"monemail220875@test.test";"2018";"123009604HD";"Général";"Scientifique";"2"
"monemail220877@test.test";"2018";"153300019EC";"Général";"Économique et social";"3"
"monemail220878@test.test";"2020";"070474073BG";"Général";"Scientifique";"2"
"monemail220879@test.test";"2018";"070837928";"Général";"Économique et social";"2"
"monemail220880@test.test";"2020";"081155694DF";"Général";"Scientifique";"4"
"monemail220881@test.test";"2020";"100830826KC";"Technologique";"STG";"2"
"monemail220883@test.test";"2019";"060828041HH";"Technologique";"STG";"3"
"monemail220884@test.test";"2019";"060345454JK";"Général";"Économique et social";"3"
"monemail220886@test.test";"2019";"163018579AK";"Général";"Économique et social";"1"
"monemail220887@test.test";"2019";"060761105JD";"Général";"Scientifique";"2"
"monemail220889@test.test";"2018";"072130817DC";"Général";"Scientifique";"1"
"monemail220894@test.test";"2017";"0116018117Z";"Technologique";"STG";"3"
"monemail220895@test.test";"2018";"070214827HJ";"Technologique";"STG";"2"
"monemail220896@test.test";"2018";"060286650BE";"Général";"Scientifique";"2"
"monemail220897@test.test";"2020";"081659757JB";"Général";"Économique et social";"2"
"monemail220898@test.test";"2018";"100827715AC";"Général";"Économique et social";"3"
"monemail220899@test.test";"2019";"071875950JA";"Général";"Économique et social";"4"
"monemail220900@test.test";"2020";"101147659GB";"Général";"Économique et social";"3"
"monemail220903@test.test";"2020";"110932138GK";"Général";"Économique et social";"2"
"monemail220907@test.test";"2018";"090411894GA";"Général";"Économique et social";"3"
"monemail220908@test.test";"2020";;"Général";"Économique et social";"2"
"monemail220909@test.test";"2020";"101069743JG";"Général";"Scientifique";"2"
"monemail220910@test.test";"2020";"071963557GE";"Général";"Scientifique";"1"
"monemail220912@test.test";"2020";"070711164KA";"Général";"Économique et social";"2"
"monemail220913@test.test";"2020";"081744522KE";"Général";"Scientifique";"2"
"monemail220914@test.test";"2018";"071197577DF";"Général";"Scientifique";"3"
"monemail220915@test.test";"2019";"R148088424";"Général";"Scientifique";"3"
"monemail220917@test.test";"2020";"101143286GK";"Général";"Économique et social";"3"
"monemail220918@test.test";"2017";"2310007107R";"Général";"Scientifique";"3"
"monemail220919@test.test";"2019";"0112012512F";"Général";"Économique et social";"2"
"monemail220921@test.test";"2019";"123084133EA";"Général";"Scientifique";"2"
"monemail220922@test.test";"2020";"1310002R065";"Général";"Économique et social";"1"
"monemail220923@test.test";"2020";"071270072KG";"Technologique";"STG";"3"
"monemail220924@test.test";"2020";"100946786EH";"Général";"Économique et social";"3"
"monemail220926@test.test";"2020";"060348548AC";"Général";"Économique et social";"2"
"monemail220927@test.test";"2019";"101080839EJ";"Général";"Économique et social";"2"
"monemail220928@test.test";"2020";"060437524HC";"Général";"Économique et social";"2"
"monemail220930@test.test";"2020";"123057321JA";"Technologique";"STG";"3"
"monemail220931@test.test";"2015";"0708002274P";"Général";"Économique et social";"4"
"monemail220932@test.test";"2019";"123050404BD";"Général";"Économique et social";"2"
"monemail220933@test.test";"2020";"060876434JH";"Général";"Scientifique";"2"
"monemail220934@test.test";"2018";"060380039DG";"Général";"Économique et social";"3"
"monemail220935@test.test";"2019";"100985834KA";"Général";"Économique et social";"1"
"monemail220936@test.test";"2020";"071269812GF";"Général";"Économique et social";"1"
"monemail220939@test.test";"2018";"101009471CE";"Général";"Économique et social";"3"
"monemail220940@test.test";"2019";"081162976CJ";"Technologique";"STG";"2"
"monemail220941@test.test";"2020";"080056564FJ";"Général";"Économique et social";"2"
"monemail220943@test.test";"2019";"080964526BG";"Général";"Scientifique";"3"
"monemail220944@test.test";"2019";"070576990BG";"Général";"Économique et social";"4"
"monemail220947@test.test";"2018";"153330359GD";"Général";"Scientifique";"2"
"monemail220948@test.test";"2020";"071453290BE";"Général";"Scientifique";"4"
"monemail220949@test.test";"2020";"070217379EJ";"Général";"Économique et social";"4"
"monemail220951@test.test";"2020";"060968368BC";"Général";"Économique et social";"3"
"monemail220952@test.test";"2018";"310 679 15 ";"Général";"Scientifique";"2"
"monemail220953@test.test";"2020";"071924941HE";"Général";"Économique et social";"2"
"monemail220954@test.test";"2020";"080889143DA";"Général";"Scientifique";"2"
"monemail220955@test.test";"2020";"072165110HH";"Technologique";"STG";"1"
"monemail220956@test.test";"2020";"080471273CE";"Général";"Scientifique";"1"
"monemail220957@test.test";"2020";"071158851FJ";"Général";"Économique et social";"3"
"monemail220958@test.test";"2019";"061056890FB";"Général";"Scientifique";"4"
"monemail220962@test.test";"2019";"070681471AE";"Général";"Scientifique";"3"
"monemail220963@test.test";"2018";"050057404CJ";"Général";"Économique et social";"2"
"monemail220964@test.test";"2018";"100697257KC";"Général";"Économique et social";"1"
"monemail220965@test.test";"2018";"080274072CE";"Général";"Économique et social";"4"
"monemail220966@test.test";"2020";"081148545AG";"Général";"Économique et social";"1"
"monemail220968@test.test";"2018";"072069647KC";"Général";"Économique et social";"1"
"monemail220969@test.test";"2020";"060620373GJ";"Général";"Économique et social";"1"
"monemail220970@test.test";"2017";"2510027069T";"Général";"Économique et social";"2"
"monemail220973@test.test";"2020";"070125845BE";"Général";"Scientifique";"3"
"monemail220974@test.test";"2020";"111064625JE";"Général";"Scientifique";"1"
"monemail220976@test.test";"2019";"123106667BA";"Général";"Scientifique";"3"
"monemail220977@test.test";"2020";"100720158JD";"Général";"Scientifique";"2"
"monemail220978@test.test";"2020";"060426432AK";"Général";"Économique et social";"3"
"monemail220979@test.test";"2018";"7091120102S";"Général";"Scientifique";"4"
"monemail220980@test.test";"2020";"060179897GH";"Général";"Scientifique";"2"
"monemail220981@test.test";"2020";"080559544CD";"Général";"Scientifique";"2"
"monemail220982@test.test";"2018";"090127110FC";"Technologique";"STG";"2"
"monemail220984@test.test";"2020";"060483943BK";"Général";"Scientifique";"4"
"monemail220985@test.test";"2020";"071148778ED";"Technologique";"STG";"3"
"monemail220986@test.test";"2019";"123138737EH";"Général";"Économique et social";"1"
"monemail220988@test.test";"2020";"071437430GD";"Général";"Scientifique";"2"
"monemail220991@test.test";"2018";"153298256FK";"Général";"Économique et social";"3"
"monemail220992@test.test";"2020";"080639787KG";"Général";"Économique et social";"1"
"monemail220995@test.test";"2020";"081383651CJ";"Technologique";"STG";"3"
"monemail220996@test.test";"2017";"2510004760U";"Général";"Scientifique";"3"
"monemail220997@test.test";"2019";"060227530GB";"Général";"Scientifique";"2"
"monemail220998@test.test";"2019";"123106044FB";"Général";"Scientifique";"1"
"monemail220999@test.test";"2017";"2510077547K";"Général";"Économique et social";"4"
"monemail221000@test.test";"2020";"090508597GG";"Général";"Économique et social";"3"
"monemail221001@test.test";"2020";"080337083GD";"Professionnel";"Autre";"1"
"monemail221005@test.test";"2020";"070156676CK";"Général";"Économique et social";"2"
"monemail221006@test.test";"2019";"061103948DJ";"Général";"Économique et social";"3"
"monemail221007@test.test";"2020";"100872231AK";"Général";"Économique et social";"2"
"monemail221009@test.test";"2017";"2510036351G";"Général";"Scientifique";"2"
"monemail221011@test.test";"2020";"071132818KF";"Général";"Économique et social";"2"
"monemail221012@test.test";"2018";"081689636HJ";"Général";"Scientifique";"2"
"monemail221013@test.test";"2018";"070493917FH";"Professionnel";"STI";"4"
"monemail221014@test.test";"2018";"090690018DF";"Général";"Scientifique";"3"
"monemail221016@test.test";"2020";"070589065GG";"Général";"Économique et social";"1"
"monemail221018@test.test";"2019";"081385388DH";"Général";"Économique et social";"3"
"monemail221019@test.test";"2019";"101014763GH";"Général";"Scientifique";"4"
"monemail221020@test.test";"2020";"071662220CC";"Général";"Économique et social";"3"
"monemail221021@test.test";"2018";"090894129BC";"Général";"Économique et social";"4"
"monemail221023@test.test";"2020";"111066522DA";"Technologique";"STG";"2"
"monemail221026@test.test";"2020";"071695104CB";"Technologique";"STG";"1"
"monemail221029@test.test";"2020";"071662219CD";"Général";"Économique et social";"1"
"monemail221030@test.test";"2020";"060351183JD";"Général";"Économique et social";"1"
"monemail221031@test.test";"2019";"101031932GH";"Technologique";"STG";"3"
"monemail221033@test.test";"2018";"080987496DF";"Général";"Économique et social";"4"
"monemail221034@test.test";"2018";"153306302GE";"Général";"Économique et social";"3"
"monemail221035@test.test";"2018";"060271325BD";"Général";"Scientifique";"3"
"monemail221036@test.test";"2019";;"Général";"Littéraire";"2"
"monemail221038@test.test";"2020";"071689132HG";"Général";"Économique et social";"3"
"monemail221039@test.test";"2017";"2414071178L";"Général";"Économique et social";"3"
"monemail221042@test.test";"2020";" 072117008GH";"Général";"Scientifique";"4"
"monemail221044@test.test";"2019";"110827078HJ";"Technologique";"STG";"1"
"monemail221045@test.test";"2018";"101150813BB";"Général";"Économique et social";"4"
"monemail221046@test.test";"2015";"0207034882R";"Général";"Économique et social";"4"
"monemail221047@test.test";"2020";"071471290FG";"Général";"Scientifique";"3"
"monemail221048@test.test";"2019";"111002545JE";"Général";"Économique et social";"2"
"monemail221049@test.test";"2017";"2310012512R";"Général";"Scientifique";"3"
"monemail221051@test.test";"2014";"1107037262X";"Général";"Scientifique";"3"
"monemail221053@test.test";"2018";"153161669HA";"Général";"Scientifique";"4"
"monemail221054@test.test";"2020";"110853246AD";"Général";"Économique et social";"3"
"monemail221055@test.test";"2019";"153286199JJ";"Général";"Économique et social";"4"
"monemail221057@test.test";"2020";"080641687DK";"Général";"Scientifique";"2"
"monemail221059@test.test";"2020";"071075352A";"Général";"Économique et social";"3"
"monemail221060@test.test";"2019";" 123045117GC";"Général";"Économique et social";"2"
"monemail221061@test.test";"2018";"101098701DE";"Général";"Économique et social";"4"
"monemail221062@test.test";"2018";"153382839GA";"Général";"Économique et social";"3"
"monemail221063@test.test";"2020";"060284370GD";"Général";"Économique et social";"3"
"monemail221064@test.test";"2019";"153394849HJ";"Général";"Économique et social";"3"
"monemail221065@test.test";"2020";"101136576JG";"Général";"Scientifique";"3"
"monemail221066@test.test";"2019";"0607635119KE";"Général";"Économique et social";"2"
"monemail221068@test.test";"2019";"060541396JH";"Général";"Scientifique";"2"
"monemail221069@test.test";"2018";"060928836GF";"Général";"Économique et social";"3"
"monemail221070@test.test";"2018";"071043390JK";"Général";"Scientifique";"4"
"monemail221071@test.test";"2019";"081240666DF ";"Général";"Économique et social";"2"
"monemail221072@test.test";"2018";"070862568AG";"Général";"Économique et social";"2"
"monemail221073@test.test";"2020";"071943285GD";"Général";"Économique et social";"2"
"monemail221075@test.test";"2020";"2313011234W";"Général";"Économique et social";"2"
"monemail221076@test.test";"2019";"090663364BE";"Général";"Économique et social";"1"
"monemail221078@test.test";"2019";"123007284GF";"Général";"Économique et social";"4"
"monemail221081@test.test";"2019";"060281593CH";"Général";"Scientifique";"1"
"monemail221082@test.test";"2017";"09G9KS028S0";"Général";"Économique et social";"3"
"monemail221083@test.test";"2020";"110813041FA";"Technologique";"STG";"2"
"monemail221084@test.test";"2019";"070150575BK";"Général";"Économique et social";"2"
"monemail221086@test.test";"2018";"071422301GA";"Général";"Scientifique";"4"
"monemail221087@test.test";"2020";"080799148AK";"Général";"Économique et social";"3"
"monemail221088@test.test";"2020";"070586314AE";"Général";"Scientifique";"3"
"monemail221089@test.test";"2019";"081719655DC";"Général";"Scientifique";"3"
"monemail221090@test.test";"2019";"143151655";"Général";"Scientifique";"3"
"monemail221091@test.test";"2020";"090559620GF";"Technologique";"STG";"2"
"monemail221092@test.test";"2020";"071870500AB";"Général";"Économique et social";"2"
"monemail221093@test.test";"2019";"070831460HE";"Général";"Économique et social";"2"
"monemail221095@test.test";"2015";"2411075672B";"Général";"Économique et social";"2"
"monemail221096@test.test";"2019";"081898865HJ";"Général";"Scientifique";"2"
"monemail221097@test.test";"2018";"100742524CH";"Général";"Économique et social";"3"
"monemail221098@test.test";"2017";"2510072853H";"Général";"Économique et social";"2"
"monemail221099@test.test";"2020";"081480355DD";"Général";"Scientifique";"2"
"monemail221101@test.test";"2019";"081565540BE";"Général";"Économique et social";"2"
"monemail221102@test.test";"2018";"153406282KB";"Général";"Scientifique";"4"
"monemail221103@test.test";"2020";"070900803JG";"Général";"Économique et social";"1"
"monemail221104@test.test";"2020";"111030578JE";"Général";"Économique et social";"2"
"monemail221106@test.test";"2017";"1010006909X";"Général";"Économique et social";"3"
"monemail221107@test.test";"2017";"2509048037C";"Général";"Économique et social";"4"
"monemail221109@test.test";"2014";"0921D72238J";"Professionnel";"Autre";"2"
"monemail221110@test.test";"2020";"060355288FC";"Général";"Économique et social";"2"
"monemail221112@test.test";"2020";"060456892AH";"Technologique";"STG";"2"
"monemail221113@test.test";"2019";"081592203CG";"Général";"Scientifique";"2"
"monemail221115@test.test";"2019";"071583912FB";"Général";"Économique et social";"2"
"monemail221116@test.test";"2019";"060365098DK";"Général";"Économique et social";"3"
"monemail221119@test.test";"2020";"060408424HC";"Général";"Économique et social";"3"
"monemail221120@test.test";"2020";"070688418EB";"Général";"Économique et social";"3"
"monemail221122@test.test";"2020";"050160843JJ";"Général";"Scientifique";"2"
"monemail221123@test.test";"2018";"090686833BK";"Général";"Économique et social";"2"
"monemail221126@test.test";"2018";"143137985GF";"Général";"Scientifique";"3"
"monemail221127@test.test";"2019";"070840222EC";"Général";"Économique et social";"3"
"monemail221128@test.test";"2019";"080354211AH";"Général";"Scientifique";"3"
"monemail221129@test.test";"2020";"070697743CJ";"Général";"Économique et social";"2"
"monemail221130@test.test";"2018";"153234204KB";"Général";"Scientifique";"3"
"monemail221131@test.test";"2018";"060248777FH";"Général";"Économique et social";"2"
"monemail221133@test.test";"2019";"081497425DF";"Général";"Économique et social";"1"
"monemail221134@test.test";"2019";"071606557AH";"Général";"Économique et social";"2"
"monemail221136@test.test";"2019";"080989744BJ";"Général";"Économique et social";"2"
"monemail221137@test.test";"2020";"133095024DE";"Général";"Économique et social";"1"
"monemail221138@test.test";"2020";"071962163AD";"Général";"Scientifique";"2"
"monemail221139@test.test";"2018";"153008809FJ";"Général";"Économique et social";"3"
"monemail221142@test.test";"2019";"0G415U01Z68";"Général";"Économique et social";"2"
"monemail221145@test.test";"2019";"070980453HD";"Général";"Scientifique";"4"
"monemail221146@test.test";"2019";"100832875JA";"Général";"Économique et social";"3"
"monemail221147@test.test";"2019";"080508423CF";"Général";"Scientifique";"2"
"monemail221149@test.test";"2019";"050233746DC";"Général";"Économique et social";"3"
"monemail221150@test.test";"2019";"081982290HD";"Général";"Scientifique";"3"
"monemail221154@test.test";"2019";"071065279C";"Général";"Scientifique";"2"
"monemail221155@test.test";"2018";"101159094HC";"Général";"Scientifique";"1"
"monemail221156@test.test";"2019";"060437353EK";"Général";"Économique et social";"3"
"monemail221157@test.test";"2019";"071471288FJ";"Général";"Économique et social";"4"
"monemail221158@test.test";"2019";"070036246JC";"Général";"Économique et social";"1"
"monemail221159@test.test";"2019";"061255602KC";"Général";"Littéraire";"3"
"monemail221160@test.test";"2018";"090772658EB";"Général";"Économique et social";"3"
"monemail221161@test.test";"2020";"01845964445";"Général";"Scientifique";"2"
"monemail221162@test.test";"2020";"100979595CE";"Général";"Économique et social";"4"
"monemail221165@test.test";"2018";"100813929BE";"Général";"Scientifique";"4"
"monemail221166@test.test";"2019";"070713692JE";"Général";"Scientifique";"3"
"monemail221167@test.test";"2018";"153350208AC";"Général";"Scientifique";"1"
"monemail221168@test.test";"2020";"100993933EC";"Général";"Scientifique";"3"
"monemail221169@test.test";"2018";"153132135BK";"Général";"Scientifique";"2"
"monemail221170@test.test";"2019";"110932290BE";"Général";"Scientifique";"2"
"monemail221171@test.test";"2019";"070335325FE";"Général";"Scientifique";"3"
"monemail221172@test.test";"2019";"081613607FK";"Général";"Scientifique";"4"
"monemail221174@test.test";"2019";"0ETRZU01IP9";"Général";"Économique et social";"2"
"monemail221175@test.test";"2020";"080051056DH";"Général";"Économique et social";"1"
"monemail221176@test.test";"2017";"1013028327X";"Général";"Économique et social";"1"
"monemail221177@test.test";"2019";"060447979KD";"Général";"Scientifique";"2"
"monemail221179@test.test";"2018";"071600034DB";"Général";"Scientifique";"4"
"monemail221180@test.test";"2016";"1408035874B";"Général";"Scientifique";"4"
"monemail221181@test.test";"2019";"070957109EA";"Général";"Scientifique";"4"
"monemail221183@test.test";"2019";"050035615JK";"Général";"Économique et social";"4"
"monemail221184@test.test";"2019";"071247973HK";"Général";"Scientifique";"1"
"monemail221185@test.test";"2017";"2414068962C";"Général";"Économique et social";"3"
"monemail221188@test.test";"2018";"080487370CK";"Général";"Économique et social";"3"
"monemail221190@test.test";"2019";"110365911BA";"Technologique";"STG";"4"
"monemail221192@test.test";"2019";"08054541JJ";"Général";"Économique et social";"1"
"monemail221194@test.test";"2019";"100987193JK";"Technologique";"STG";"2"
"monemail221196@test.test";"2019";"070654287CJ";"Général";"Économique et social";"3"
"monemail221197@test.test";"2019";"060201717HC";"Général";"Économique et social";"1"
"monemail221198@test.test";"2018";"081155306DF";"Professionnel";"Autre";"1"
"monemail221199@test.test";"2018";"061364715AH";"Général";"Économique et social";"4"
"monemail221200@test.test";"2019";"101079589DH";"Général";"Scientifique";"4"
"monemail221201@test.test";"2017";"1710046454W";"Général";"Scientifique";"4"
"monemail221202@test.test";"2019";"123083361DG";"Général";"Économique et social";"2"
"monemail221203@test.test";"2019";"080539027HD";"Général";"Économique et social";"3"
"monemail221206@test.test";"2018";"071139887BA";"Général";"Scientifique";"3"
"monemail221207@test.test";"2017";"2510030753X";"Général";"Scientifique";"4"
"monemail221209@test.test";"2016";"2509074670 B";"Général";"Littéraire";"3"
"monemail221210@test.test";"2019";"060203108DK";"Général";"Scientifique";"4"
"monemail221211@test.test";"2020";"110897184AG";"Général";"Scientifique";"3"
"monemail221212@test.test";"2018";"153455330CJ";"Général";"Économique et social";"4"
"monemail221213@test.test";"2019";"100875147AD";"Général";"Économique et social";"2"
"monemail221214@test.test";"2020";"111060678FE";"Général";"Économique et social";"2"
"monemail221215@test.test";"2020";"081113578FD";"Général";"Économique et social";"4"
"monemail221216@test.test";"2018";"090010356BJ";"Technologique";"STG";"3"
"monemail221217@test.test";"2019";"101022179CD";"Général";"Scientifique";"3"
"monemail221219@test.test";"2016";"1108010196J";"Général";"Économique et social";"3"
"monemail221220@test.test";"2018";"153169639FE";"Général";"Économique et social";"3"
"monemail221221@test.test";"2019";" 09G9KV02IS8";"Général";"Scientifique";"1"
"monemail221222@test.test";"2017";"1710037337L";"Général";"Scientifique";"2"
"monemail221223@test.test";"2019";"081535606HC";"Général";"Économique et social";"4"
"monemail221224@test.test";"2020";"071440153FG";"Général";"Économique et social";"2"
"monemail221225@test.test";"2020";"070776043AH";"Général";"Scientifique";"3"
"monemail221227@test.test";"2020";"101063500CE";"Général";"Scientifique";"2"
"monemail221228@test.test";"2020";"090253374JC";"Général";"Scientifique";"2"
"monemail221229@test.test";"2019";"070898799FD";"Général";"Économique et social";"2"
"monemail221230@test.test";"2019";"060409263AK";"Général";"Scientifique";"2"
"monemail221231@test.test";"2019";"040015605KG";"Général";"Économique et social";"2"
"monemail221233@test.test";"2018";"143247345CE";"Général";"Scientifique";"4"
"monemail221234@test.test";"2016";"1109009031Z";"Technologique";"STG";"4"
"monemail221237@test.test";"2017";"0110015798P";"Général";"Scientifique";"3"
"monemail221238@test.test";"2020";"060608228JJ";"Général";"Économique et social";"2"
"monemail221239@test.test";"2019";"061140761JF";"Général";"Scientifique";"3"
"monemail221240@test.test";"2019";"071578697CJ";"Général";"Scientifique";"2"
"monemail221241@test.test";"2019";"050162104JJ";"Général";"Économique et social";"2"
"monemail221242@test.test";"2019";"123069803BE";"Général";"Économique et social";"1"
"monemail221243@test.test";"2019";"1971210113653";"Général";"Scientifique";"3"
"monemail221244@test.test";"2018";"090442666DH";"Général";"Scientifique";"1"
"monemail221245@test.test";"2018";"071052592AF";"Général";"Économique et social";"3"
"monemail221246@test.test";"2018";"100986438GJ";"Général";"Scientifique";"1"
"monemail221247@test.test";"2019";"080589594ED";"Général";"Scientifique";"2"
"monemail221248@test.test";"2019";"071166122GC";"Général";"Économique et social";"2"
"monemail221249@test.test";"2020";"0113026880E";"Général";"Économique et social";"3"
"monemail221250@test.test";"2019";"081223739JE";"Général";"Scientifique";"3"
"monemail221251@test.test";"2017";"1110034574V";"Général";"Littéraire";"4"
"monemail221252@test.test";"2020";"061298595HA";"Général";"Économique et social";"1"
"monemail221253@test.test";"2019";"081020648FH";"Général";"Scientifique";"2"
"monemail221255@test.test";"2019";"070393123GJ";"Général";"Scientifique";"2"
"monemail221256@test.test";"2020";"080952092DE";"Général";"Économique et social";"3"
"monemail221258@test.test";"2019";"070677030JA";"Général";"Économique et social";"3"
"monemail221260@test.test";"2019";"061136521FH";"Général";"Économique et social";"3"
"monemail221261@test.test";"2018";"071150803FF";"Général";"Scientifique";"3"
"monemail221262@test.test";"2017";"1010012195T";"Général";"Scientifique";"3"
"monemail221263@test.test";"2020";"070507712DG";"Général";"Scientifique";"2"
"monemail221266@test.test";"2019";"070231235GD";"Général";"Économique et social";"4"
"monemail221267@test.test";"2019";"050206083FA";"Général";"Économique et social";"1"
"monemail221268@test.test";"2019";"060175101BD";"Technologique";"STG";"3"
"monemail221269@test.test";"2019";"070216579HC";"Technologique";"STG";"2"
"monemail221270@test.test";"2019";"050072934BJ";"Technologique";"STG";"3"
"monemail221271 @test.test";"2019";"071789989AC";"Général";"Scientifique";"2"
"monemail221272@test.test";"2019";"060020501KC";"Général";"Scientifique";"1"
"monemail221274@test.test";"2020";"081368752JG";"Général";"Économique et social";"4"
"monemail221279@test.test";"2020";"070246637JE";"Général";"Économique et social";"3"
"monemail221280@test.test";"2020";"070654277DJ";"Général";"Économique et social";"2"
"monemail221281@test.test";"2019";"070737702DD";"Général";"Scientifique";"3"
"monemail221283@test.test";"2019";"090441046AJ";"Général";"Économique et social";"2"
"monemail221284@test.test";"13";"153026484DH";"Général";"Scientifique";"3"
"monemail221285@test.test";"2019";"081667805JE";"Général";"Scientifique";"2"
"monemail221286@test.test";"2020";"070914125FD";"Général";"Scientifique";"3"
"monemail221288@test.test";"2020";"153464771KD";"Général";"Scientifique";"3"
"monemail221289@test.test";"2019";"123069083FF";"Général";"Économique et social";"2"
"monemail221290@test.test";"2020";"071913107HE";"Général";"Économique et social";"3"
"monemail221293@test.test";"2020";"100782659FA";"Général";"Économique et social";"1"
"monemail221295@test.test";"2018";"081971400AC";"Général";"Économique et social";"1"
"monemail221296@test.test";"2019";"091033808BD";"Général";"Scientifique";"3"
"monemail221297@test.test";"2020";"081009061AE";"Technologique";"STG";"1"
"monemail221299@test.test";"2019";"060274726AH";"Général";"Scientifique";"2"
"monemail221302@test.test";"2019";"123042841BA";"Général";"Économique et social";"3"
"monemail221304@test.test";"2019";"081398716KF";"Général";"Économique et social";"3"
"monemail221305@test.test";"2019";"091033806BF";"Général";"Économique et social";"2"
"monemail221306@test.test";"2019";"071111338EB";"Général";"Scientifique";"3"
"monemail221307@test.test";"2018";"0520290222";"Général";"Économique et social";"1"
"monemail221308@test.test";"2018";"060392999HE";"Général";"Économique et social";"2"
"monemail221311@test.test";"2018";"153297551JF";"Général";"Économique et social";"4"
"monemail221312@test.test";"2020";"100226657EJ";"Général";"Scientifique";"3"
"monemail221313@test.test";"2018";"071313656GF";"Général";"Scientifique";"3"
"monemail221314@test.test";"2019";"070782189GK";"Général";"Économique et social";"2"
"monemail221315@test.test";"2020";"110775707DK";"Général";"Économique et social";"2"
"monemail221316@test.test";"2019";"060380876HC";"Général";"Scientifique";"3"
"monemail221317@test.test";"2018";" 153021597HE";"Général";"Économique et social";"2"
"monemail221318@test.test";"2019";"50110016JH";"Général";"Économique et social";"3"
"monemail221320@test.test";"2019";"080626187BK";"Général";"Scientifique";"3"
"monemail221321@test.test";"2019";"070743061AK";"Général";"Scientifique";"3"
"monemail221322@test.test";"2020";"060127840DF";"Général";"Économique et social";"3"
"monemail221323@test.test";"2019";"070880585DB";"Général";"Économique et social";"3"
"monemail221324@test.test";"2019";"060982454JJ";"Général";"Économique et social";"2"
"monemail221325@test.test";"2019";"101036929BH";"Général";"Économique et social";"1"
"monemail221326@test.test";"2019";"070529842CC";"Général";"Économique et social";"3"
"monemail221327@test.test";"2018";"061098939AD";"Général";"Économique et social";"2"
"monemail221328@test.test";"2020";"080821099HH";"Général";"Scientifique";"2"
"monemail221329@test.test";"2018";"090450030EF";"Général";"Scientifique";"3"
"monemail221330@test.test";"2018";"153023659EK";"Général";"Économique et social";"3"
"monemail221331@test.test";"2018";"060769353JA";"Général";"Scientifique";"4"
"monemail221332@test.test";"2018";"061160545JK";"Général";"Économique et social";"4"
"monemail221333@test.test";"2019";"071857145GH";"Général";"Économique et social";"2"
"monemail221334@test.test";"2019";;"Général";"Économique et social";"2"
